,JANE
thinking might better,1.0
staffed u two,1.0
fully staffed u,1.0
healthy </eol> </eol>,1.0
<eol> <eol> red,1.0
<eol> red light,1.0
red light stack,1.0
show </eol>,1.0
<eol> fully staffed,1.0
<eol> <eol> fully,1.0
chippy </eol> </eol>,1.0
light stack fruit,1.0
working chippy </eol>,1.0
better working chippy,1.0
stack fruit veg,1.0
might better working,1.0
fruit veg lot,1.0
veg lot </eol>,1.0
<eol> gotta replace,1.0
gotta replace energy,1.0
replace energy somehow,1.0
energy somehow ian,1.0
job sense smell,1.0
nose job sense,1.0
<eol> nose job,1.0
sprain took doctor,1.0
look got </eol>,1.0
<eol> lucy wait,1.0
ian look got,1.0
lucy wait </eol>,1.0
hard </eol>,1.0
<eol> ian look,1.0
<eol> <eol> slight,1.0
<eol> slight sprain,1.0
money okay </eol>,1.0
slight sprain took,1.0
took doctor nothing,1.0
<eol> <eol> nose,1.0
doctor nothing worry,1.0
nothing worry </eol>,1.0
ask money okay,1.0
yes well doctor,1.0
well doctor word,1.0
doctor word say,1.0
word say well,1.0
ruined ask money,1.0
say well advised,1.0
well advised consult,1.0
sense </eol> </eol>,1.0
make sense </eol>,1.0
<eol> must,1.0
<eol> make sense,1.0
wait going get,1.0
ian tell lucy,1.0
going get something,1.0
get something new,1.0
<eol> ian tell,1.0
something new outfit,1.0
earlier </eol>,1.0
new outfit school,1.0
outfit school disco,1.0
school disco </eol>,1.0
cheaper way </eol>,1.0
ordered cheaper way,1.0
bulk ordered cheaper,1.0
disco </eol> </eol>,1.0
<eol> taking co,1.0
taking co steven,1.0
<eol> bulk ordered,1.0
co steven need,1.0
steven need job,1.0
need job </eol>,1.0
<eol> <eol> bulk,1.0
advised consult someone,1.0
consult someone qualified,1.0
someone qualified get,1.0
time someone position,1.0
exactly time someone,1.0
<eol> exactly time,1.0
<eol> <eol> gear,1.0
<eol> gear </eol>,1.0
manager </eol> </eol>,1.0
<eol> thought sitting,1.0
thought sitting week,1.0
assistant manager </eol>,1.0
sitting week </eol>,1.0
well suppose anything,1.0
suppose anything cafe,1.0
anything cafe chippy,1.0
room </eol>,1.0
could assistant manager,1.0
job could assistant,1.0
better job could,1.0
cafe chippy right,1.0
chippy right </eol>,1.0
<eol> <eol> shower,1.0
<eol> shower </eol>,1.0
shower </eol> </eol>,1.0
hard love </eol>,1.0
peter hard love,1.0
qualified get expert,1.0
push peter hard,1.0
get expert advice,1.0
expert advice </eol>,1.0
advice </eol> </eol>,1.0
one ruined ask,1.0
bobby one ruined,1.0
since bobby one,1.0
would since bobby,1.0
<eol> <eol> key,1.0
<eol> key </eol>,1.0
<eol> <eol> nowhere,1.0
<eol> nowhere put,1.0
nowhere put eh,1.0
put eh look,1.0
sure would since,1.0
<eol> sure would,1.0
authority </eol> </eol>,1.0
position authority </eol>,1.0
someone position authority,1.0
eh look hope,1.0
look hope push,1.0
